instance_id,agent_count,interaction_level,ordering_index,ordering_seed,agent_order,base_seed,success,termination_reason,execution_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned
AR0204SR_n10_low_002,10,low,14,900186869708402085,"[4, 2, 5, 7, 6, 3, 1, 8, 9, 0]",2026,True,success,3865.866699954495,1862,343,0,10,10
AR0204SR_n10_low_002,10,low,15,259727155275416879,"[5, 0, 1, 8, 6, 3, 7, 9, 2, 4]",2026,True,success,3858.867899980396,1862,343,0,10,10
AR0204SR_n10_low_002,10,low,16,7553937210381147577,"[7, 8, 1, 3, 6, 5, 0, 9, 2, 4]",2026,True,success,3981.970899971202,1862,343,0,10,10
AR0204SR_n10_low_002,10,low,17,4581003763506436409,"[2, 6, 3, 8, 5, 7, 0, 4, 1, 9]",2026,True,success,3987.913899938576,1862,343,0,10,10
AR0204SR_n10_low_002,10,low,18,1973936906411066717,"[5, 9, 4, 6, 3, 8, 2, 1, 7, 0]",2026,True,success,3875.700499978848,1862,343,0,10,10
AR0204SR_n10_low_002,10,low,19,4889871443410082502,"[0, 1, 5, 3, 6, 7, 8, 2, 9, 4]",2026,True,success,3892.573899938725,1862,343,0,10,10
AR0204SR_n10_medium_000,10,medium,10,7247845383972407997,"[4, 0, 3, 1, 7, 2, 6, 9, 8, 5]",2026,True,success,56883.085099980235,2797,497,0,10,10
AR0204SR_n10_medium_000,10,medium,11,5717617914296748132,"[4, 9, 6, 8, 7, 2, 0, 3, 1, 5]",2026,True,success,56855.561100062914,2797,497,0,10,10
AR0204SR_n10_medium_000,10,medium,12,2721693352200997289,"[5, 4, 3, 9, 1, 2, 6, 0, 7, 8]",2026,True,success,56834.075600025244,2797,497,0,10,10
AR0204SR_n10_medium_000,10,medium,13,8323547777333383369,"[6, 8, 5, 0, 2, 1, 3, 4, 9, 7]",2026,True,success,81615.7966000028,2935,497,0,10,10
AR0204SR_n10_medium_000,10,medium,14,8952851832115753119,"[2, 9, 6, 8, 3, 0, 7, 1, 4, 5]",2026,True,success,80085.33709996846,2935,497,0,10,10
AR0204SR_n10_medium_000,10,medium,15,5033159612029351134,"[3, 9, 6, 2, 1, 5, 7, 0, 8, 4]",2026,True,success,80984.0445999289,2935,497,0,10,10
AR0204SR_n10_medium_000,10,medium,16,3489509224781948489,"[1, 9, 2, 8, 4, 5, 7, 6, 3, 0]",2026,True,success,56821.51169993449,2797,497,0,10,10
AR0204SR_n10_medium_000,10,medium,17,7623391566269525767,"[0, 6, 4, 7, 1, 8, 5, 9, 2, 3]",2026,True,success,80479.96950009838,2935,497,0,10,10
AR0204SR_n10_medium_000,10,medium,18,3415716958142723457,"[8, 0, 1, 6, 5, 9, 7, 3, 4, 2]",2026,True,success,80466.04540001135,2935,497,0,10,10
AR0204SR_n10_medium_000,10,medium,19,7321604837355363082,"[9, 7, 6, 1, 3, 5, 4, 0, 2, 8]",2026,True,success,57732.03850002028,2797,497,0,10,10
AR0204SR_n10_medium_001,10,medium,10,7031200910373979041,"[4, 3, 9, 6, 2, 1, 8, 5, 0, 7]",2026,True,success,30666.1274000071,2567,505,0,10,10
AR0204SR_n10_medium_001,10,medium,11,4514879665813690949,"[0, 8, 5, 4, 3, 1, 6, 7, 9, 2]",2026,True,success,30569.589599967003,2567,505,0,10,10
AR0204SR_n10_medium_001,10,medium,12,8269266192518162655,"[5, 4, 0, 7, 2, 9, 8, 1, 3, 6]",2026,True,success,30472.268200013787,2567,505,0,10,10
AR0204SR_n10_medium_001,10,medium,13,874573505109544532,"[1, 9, 5, 4, 6, 0, 2, 3, 8, 7]",2026,True,success,30642.85329997074,2567,505,0,10,10
AR0204SR_n10_medium_001,10,medium,14,505377976844510627,"[7, 0, 2, 4, 9, 8, 5, 6, 1, 3]",2026,True,success,30390.854600002058,2567,505,0,10,10
AR0204SR_n10_medium_001,10,medium,15,8169682329599874030,"[3, 4, 7, 8, 1, 5, 9, 2, 6, 0]",2026,True,success,30413.740900112316,2567,505,0,10,10
AR0204SR_n10_medium_001,10,medium,16,7324304782742721384,"[7, 4, 2, 5, 0, 1, 3, 6, 8, 9]",2026,True,success,30299.52510003932,2567,505,0,10,10
AR0204SR_n10_medium_001,10,medium,17,6426287619988238795,"[3, 1, 9, 7, 6, 5, 4, 0, 2, 8]",2026,True,success,30295.164500013925,2567,505,0,10,10
AR0204SR_n10_medium_001,10,medium,18,8277870453165118427,"[4, 5, 7, 0, 2, 6, 8, 1, 3, 9]",2026,True,success,30401.725100004114,2567,505,0,10,10
AR0204SR_n10_medium_001,10,medium,19,2823329144473963980,"[0, 3, 1, 4, 6, 7, 9, 5, 2, 8]",2026,True,success,29999.613899970427,2567,505,0,10,10
AR0204SR_n10_medium_002,10,medium,10,7236979136604746973,"[2, 5, 6, 7, 8, 4, 1, 0, 9, 3]",2026,True,success,6010.431300033815,1960,441,0,10,10
AR0204SR_n10_medium_002,10,medium,11,5919865435183487743,"[8, 4, 9, 0, 7, 5, 2, 1, 6, 3]",2026,True,success,6125.406099949032,1960,441,0,10,10
