algorithm,scenario_index,optimal_length,found,path_length,path_cost,visited_nodes,execution_time_ms,preprocessing_time_ms,abstract_nodes_visited,abstract_path_edge_count,refined_path_length,refined_path_cost,scanned_nodes,local_path_cache_hits,local_path_cache_misses,cache_hit_ratio,abstract_search_time_ms,refinement_time_ms,query_time_ms
HPA*,32,112.05382385,True,99,119.71067811865464,26,1.7532999627292156,574.7303000534885,26,19,99,119.71067811865464,,0,7,0.0,0.3769000177271664,0.007499998901039362,1.7269999952986836
HPA*,33,112.43860016,True,101,125.02438661763941,47,7.608299958519638,574.7303000534885,47,19,101,125.02438661763941,,1,10,0.09090909090909091,0.4561000387184322,0.008199946023523808,7.576599949970841
HPA*,34,115.25483398,True,109,124.32590180780444,66,1.9085999811068177,574.7303000534885,66,19,109,124.32590180780444,,0,7,0.0,0.45489997137337923,0.007099995855242014,1.8761999672278762
HPA*,35,115.32590179,True,104,117.66904755831212,23,1.2478000135160983,574.7303000534885,23,19,104,117.66904755831212,,0,5,0.0,0.3394000232219696,0.006400048732757568,1.2174000148661435
HPA*,36,112.91168823,True,103,115.84062043356593,20,2.2382999886758626,574.7303000534885,20,19,103,115.84062043356593,,0,7,0.0,0.33850001636892557,0.009300012607127428,2.2176000056788325
HPA*,37,112.6984848,True,115,123.28427124746185,46,1.4083999558351934,574.7303000534885,46,21,115,123.28427124746185,,0,5,0.0,0.4311999655328691,0.007499998901039362,1.3852999545633793
HPA*,38,114.49747467,True,110,120.35533905932733,19,1.5298000071197748,574.7303000534885,19,17,110,120.35533905932733,,0,7,0.0,0.30339998193085194,0.007800001185387373,1.5035000396892428
HPA*,39,112.11269836,True,111,125.08326112068515,33,2.273300022352487,574.7303000534885,33,19,111,125.08326112068515,,0,8,0.0,0.32350001856684685,0.00689999433234334,2.236400032415986
HPA*,40,119.50966797,True,105,126.53910524340084,20,1.6054000006988645,574.7303000534885,20,19,105,126.53910524340084,,0,6,0.0,0.3168000257574022,0.007199996616691351,1.5762000111863017
HPA*,41,119.48023071,True,98,126.99494936611651,25,5.1259000319987535,574.7303000534885,25,21,98,126.99494936611651,,0,10,0.0,0.3969999961555004,0.007299997378140688,5.091900005936623
HPA*,42,116.43860016,True,99,120.53910524340084,22,2.472299966029823,574.7303000534885,22,19,99,120.53910524340084,,0,9,0.0,0.46930002281442285,0.008600007276982069,2.4413999635726213
HPA*,43,119.35533905,True,109,122.66904755831209,54,2.035899960901588,574.7303000534885,54,15,109,122.66904755831209,,0,8,0.0,0.34989998675882816,0.006499991286545992,2.0134999649599195
HPA*,44,116.49747467,True,112,122.35533905932733,26,2.54089996451512,574.7303000534885,26,17,112,122.35533905932733,,0,9,0.0,0.38620003033429384,0.006399990525096655,2.520799986086786
HPA*,45,118.81118317,True,111,126.32590180780446,58,2.4899000418372452,574.7303000534885,58,21,111,126.32590180780446,,0,9,0.0,0.3624000237323344,0.007299997378140688,2.457600028719753
HPA*,46,119.25483398,True,107,122.32590180780443,34,2.4106999626383185,574.7303000534885,34,15,107,122.32590180780443,,0,8,0.0,0.31859998125582933,0.005200039595365524,2.3867000127211213
HPA*,47,116.46803741,True,101,120.4680374315354,24,2.8116999892517924,574.7303000534885,24,19,101,120.4680374315354,,0,11,0.0,0.31450000824406743,0.006100046448409557,2.7832999476231635
HPA*,48,118.68124084,True,104,126.78174593052013,36,1.667700009420514,574.7303000534885,36,21,104,126.78174593052013,,0,7,0.0,0.3766999579966068,0.007700000423938036,1.641899987589568
HPA*,49,118.28427124,True,115,124.52691193458115,43,2.5067999958992004,574.7303000534885,43,21,115,124.52691193458115,,0,7,0.0,0.401599972974509,0.008200004231184721,2.4742999812588096
HPA*,50,122.12489166,True,115,133.63961030678925,27,2.19140003900975,574.7303000534885,27,23,115,133.63961030678925,,0,8,0.0,0.3285999991931021,0.007399998139590025,2.1635000011883676
HPA*,51,122.50966797,True,112,135.19595949289325,26,1.7288000090047717,574.7303000534885,26,21,112,135.19595949289325,,0,8,0.0,0.3068999503739178,0.006500049494206905,1.7019000370055437
HPA*,52,122.66904755,True,119,135.98275605729688,44,2.145300037227571,574.7303000534885,44,21,119,135.98275605729688,,0,7,0.0,0.847299990709871,0.008100003469735384,2.1209000260569155
HPA*,53,120.22539673,True,110,127.39696961966992,24,1.462399959564209,574.7303000534885,24,19,110,127.39696961966992,,0,7,0.0,0.3291000030003488,0.006699992809444666,1.4392999582923949
HPA*,54,121.32590179,True,120,130.35533905932732,63,2.3947000154294074,574.7303000534885,63,19,120,130.35533905932732,,0,8,0.0,0.36120001459494233,0.006999995093792677,2.364100015256554
