map_name,manifest_sha256,instance_id,agent_count,interaction_level,strategy,agent_order,original_index_order,agent_degrees,independent_conflict_count,independent_conflict_pair_count,ordering_low_level_searches,incident_conflict_counts,success,termination_reason,ordering_time_ms,pp_time_ms,total_time_ms,soc,makespan,conflict_count,pp_low_level_searches,pp_agents_planned,error_message,catalogue_seed
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_000,10,low,spf_cd,"[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]","[7, 0, 2, 3, 9, 1, 4, 5, 6, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,86486.73160001636,88166.03570012376,174652.7673001401,2032,497,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_001,10,low,spf,"[8, 9, 2, 4, 0, 3, 1, 5, 6, 7]","[8, 9, 2, 4, 0, 3, 1, 5, 6, 7]",,,,,,True,success,4016.619100002572,4059.538999805227,8076.158099807799,1359,251,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_001,10,low,cdf_h,"[8, 9, 2, 4, 0, 3, 1, 5, 6, 7]","[8, 9, 2, 4, 0, 3, 1, 5, 6, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,4059.2498001642525,4054.798699915409,8114.048500079662,1359,251,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_001,10,low,cdf_l,"[8, 9, 2, 4, 0, 3, 1, 5, 6, 7]","[8, 9, 2, 4, 0, 3, 1, 5, 6, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,4059.7006999887526,4039.4018997903913,8099.102599779144,1359,251,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_001,10,low,spf_cd,"[8, 9, 2, 4, 0, 3, 1, 5, 6, 7]","[8, 9, 2, 4, 0, 3, 1, 5, 6, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,4035.3385999333113,4170.9044999442995,8206.24309987761,1359,251,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_002,10,low,spf,"[2, 4, 5, 0, 8, 1, 6, 3, 9, 7]","[2, 4, 5, 0, 8, 1, 6, 3, 9, 7]",,,,,,True,success,41453.69690004736,42708.21560011245,84161.91250015981,3218,495,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_002,10,low,cdf_h,"[2, 4, 5, 0, 8, 1, 6, 3, 9, 7]","[2, 4, 5, 0, 8, 1, 6, 3, 9, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,41484.715700149536,42278.04480004124,83762.76050019078,3218,495,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_002,10,low,cdf_l,"[2, 4, 5, 0, 8, 1, 6, 3, 9, 7]","[2, 4, 5, 0, 8, 1, 6, 3, 9, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,41928.66749991663,42279.68479995616,84208.35229987279,3218,495,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_low_002,10,low,spf_cd,"[2, 4, 5, 0, 8, 1, 6, 3, 9, 7]","[2, 4, 5, 0, 8, 1, 6, 3, 9, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True,success,41787.22439985722,41984.894500114024,83772.11889997125,3218,495,0,10,10,,2028
AR0400SR,ab652d77ad99c251d7827684b7b2978a3bd5151609c5b557840eec8522a54259,AR0400SR_n10_medium_000,10,medium,spf,"[9, 5, 7, 0, 1, 3, 6, 2, 8, 4]","[9, 5, 7, 0, 1, 3, 6, 2, 8, 4]",,,,,,True,success,29454.846299951896,29697.575999889523,59152.42229984142,2965,505,0,10,10,,2028
